Local Time,Volume
23:00,7859.856975589309
00:00,6595.903304541981
01:00,5482.825740365166
02:00,6306.528394573721
03:00,7705.505230680337
04:00,5583.93303092492
05:00,6997.739094371783
06:00,6427.42874519748
07:00,8292.601762982094
08:00,8486.039599905065
09:00,7952.021465521135
10:00,7292.899351079122
11:00,6354.633965604617
12:00,7408.351299813443
13:00,7231.61862490938
14:00,7092.529823915186
15:00,7836.656685679544
16:00,5914.1628870910845
17:00,6645.8604807539205
18:00,8504.103806273939
19:00,7788.415717961872
20:00,5978.7886476895255
21:00,7671.974253713454
22:00,7211.568672010759
